# 명사
sympathisch, 호감 가는
teuer, 비싼
toll, 멋진
traurig, 슬픈
verrückt, 미친
wahr, 진실한
warm, 따뜻한
weit, 넓은
wichtig, 중요한
willkommen, 환영받는
wunderbar, 훌륭한
weiß, 흰
